order_id,customer_name,customer_address,order_date,status,item_name,quantity,total_amount
OR2024-032926,Ana Villanueva,"12 Burgos St., Cebu City",2024-06-27,Received,Face Mask 50pcs,3,1545.00
OR2024-032926,Ana Villanueva,"12 Burgos St., Cebu City",2024-06-27,Received,Sticky Notes 50x50mm,3,1545.00
OR2024-032926,Ana Villanueva,"12 Burgos St., Cebu City",2024-06-27,Received,Printer Paper A3 500 sheets,2,1545.00
OR2024-032927,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-07-15,Received,HP 680 Black Ink Cartridge,3,2210.00
OR2024-032927,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-07-15,Received,Rubber Bands 500g,2,2210.00
OR2024-032927,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-07-15,Received,Laser Toner Cartridge 85A,1,2210.00
OR2024-032927,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-07-15,Received,Oil Pastels 36pcs,3,2210.00
OR2024-032928,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-11,Received,Mop Bucket with Wringer,1,1500.00
OR2024-032930,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-09-12,Received,File Pocket PVC A4,3,525.00
OR2024-032930,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-09-12,Received,Waste Basket Mesh,1,525.00
OR2024-032930,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-09-12,Received,Glue Gun Small,3,525.00
OR2024-032931,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-01-09,Cancelled,Laptop Stand Aluminum,3,1380.00
OR2024-032931,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-01-09,Cancelled,Face Mask 50pcs,3,1380.00
OR2024-032931,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-01-09,Cancelled,Adhesive Bandages 100pcs,1,1380.00
OR2024-032932,Sophia Navarro,"14 Lacson St., Bacolod City",2024-03-09,Received,Binder 2-inch D-Ring,3,450.00
OR2024-032933,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-07-28,To Ship,Construction Paper Assorted,3,135.00
OR2024-032938,Sophia Navarro,"14 Lacson St., Bacolod City",2024-11-29,Received,Sticky Notes 50x50mm,2,30.00
OR2024-032940,Maria Santos,"45 Mabini Ave., Makati City",2024-01-16,Received,Whiteboard Eraser,1,80.00
OR2024-032940,Maria Santos,"45 Mabini Ave., Makati City",2024-01-16,Received,Paper Clips 50pcs,3,80.00
OR2024-032941,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-01-07,Received,Index Divider Tabs 5pcs,1,1430.00
OR2024-032941,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-01-07,Received,Glue Stick 20g,3,1430.00
OR2024-032941,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-01-07,Received,Laminating Film A4,3,1430.00
OR2024-032942,Maria Santos,"45 Mabini Ave., Makati City",2024-11-13,To Ship,Glue Stick 20g,3,60.00
OR2024-032943,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-06-02,Received,Office Chair Mid-Back,1,3250.00
OR2024-032943,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-06-02,Received,Printer Paper A3 500 sheets,1,3250.00
OR2024-032943,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-06-02,Received,Compass and Protractor Set,2,3250.00
OR2024-032945,Daniel Cruz,"3 Session Rd., Baguio City",2024-12-29,Received,Binder 2-inch D-Ring,2,1795.00
OR2024-032945,Daniel Cruz,"3 Session Rd., Baguio City",2024-12-29,Received,Staples 1000pcs,3,1795.00
OR2024-032945,Daniel Cruz,"3 Session Rd., Baguio City",2024-12-29,Received,Whiteboard Sheet Roll,2,1795.00
OR2024-032945,Daniel Cruz,"3 Session Rd., Baguio City",2024-12-29,Received,Binder 2-inch D-Ring,3,1795.00
OR2024-032946,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-12-24,Received,Mousepad Extended,1,200.00
OR2024-032948,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-09-12,Preparing,File Folder A4 50pcs,3,354.00
OR2024-032948,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-09-12,Preparing,Stapler Standard,3,354.00
OR2024-032949,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-12-28,Preparing,Watercolor Set 24pcs,1,1620.00
OR2024-032949,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-12-28,Preparing,Glue Stick 20g,2,1620.00
OR2024-032949,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-12-28,Preparing,Floor Lamp LED,1,1620.00
OR2024-032951,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-08-29,Received,Laser Toner Cartridge 85A,2,1900.00
OR2024-032952,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-02-29,Preparing,Staples 1000pcs,3,1395.00
OR2024-032952,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-02-29,Preparing,Printer Paper A3 500 sheets,3,1395.00
OR2024-032953,Maria Santos,"45 Mabini Ave., Makati City",2024-06-28,Preparing,Sticky Flags 75mm,2,824.00
OR2024-032953,Maria Santos,"45 Mabini Ave., Makati City",2024-06-28,Preparing,Watercolor Set 24pcs,1,824.00
OR2024-032953,Maria Santos,"45 Mabini Ave., Makati City",2024-06-28,Preparing,Sticky Flags 25mm,3,824.00
OR2024-032953,Maria Santos,"45 Mabini Ave., Makati City",2024-06-28,Preparing,Mousepad Extended,2,824.00
OR2024-032954,Maria Santos,"45 Mabini Ave., Makati City",2024-10-05,Cancelled,Office Chair Mid-Back,3,8750.00
OR2024-032954,Maria Santos,"45 Mabini Ave., Makati City",2024-10-05,Cancelled,Spiral Coil Bind 10mm,3,8750.00
OR2024-032954,Maria Santos,"45 Mabini Ave., Makati City",2024-10-05,Cancelled,Mousepad Extended,1,8750.00
OR2024-032955,Daniel Cruz,"3 Session Rd., Baguio City",2024-04-25,To Ship,Face Mask 50pcs,1,70.00
OR2024-032955,Daniel Cruz,"3 Session Rd., Baguio City",2024-04-25,To Ship,Sticky Flags 75mm,2,70.00
OR2024-032956,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-10-02,Preparing,Laptop Stand Aluminum,3,1095.00
OR2024-032956,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-10-02,Preparing,Sticky Notes 50x50mm,3,1095.00
OR2024-032959,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-12-17,Received,Thumb Tacks 100pcs,1,2615.00
OR2024-032959,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-12-17,Received,First Aid Kit Box,3,2615.00
OR2024-032959,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-12-17,Received,Whiteboard Eraser,1,2615.00
OR2024-032960,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-09-11,Received,Rubber Bands 500g,1,245.00
OR2024-032960,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-09-11,Received,Sticky Notes 75x75mm,1,245.00
OR2024-032960,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-09-11,Received,Stapler Standard,1,245.00
OR2024-032961,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-08,Received,Laptop Stand Aluminum,3,1390.00
OR2024-032961,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-08,Received,Whiteboard Eraser,2,1390.00
OR2024-032961,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-08,Received,HP 680 Black Ink Cartridge,2,1390.00
OR2024-032962,Maria Santos,"45 Mabini Ave., Makati City",2024-11-25,Received,Laser Toner Cartridge 85A,3,3700.00
OR2024-032962,Maria Santos,"45 Mabini Ave., Makati City",2024-11-25,Received,First Aid Kit Box,1,3700.00
OR2024-032966,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-08-12,Received,Laptop Stand Aluminum,1,1650.00
OR2024-032966,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-08-12,Received,Stapler Standard,1,1650.00
OR2024-032966,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-08-12,Received,Stapler Standard,3,1650.00
OR2024-032966,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-08-12,Received,Printer Paper A3 500 sheets,2,1650.00
OR2024-032967,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-02-04,Received,PVC Binding Cover A4,1,465.00
OR2024-032967,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-02-04,Received,Glue Stick 20g,1,465.00
OR2024-032967,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-02-04,Received,Trash Bag Black Large,3,465.00
OR2024-032968,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-12-21,Received,VGA to HDMI Adapter,3,1170.00
OR2024-032968,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-12-21,Received,Staples 1000pcs,2,1170.00
OR2024-032968,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-12-21,Received,HP 680 Black Ink Cartridge,2,1170.00
OR2024-032968,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-12-21,Received,Compass and Protractor Set,1,1170.00
OR2024-032969,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-08-04,To Ship,Printer Paper A3 500 sheets,2,900.00
OR2024-032971,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-20,To Ship,First Aid Kit Box,2,2212.00
OR2024-032971,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-20,To Ship,Binder Clips 24pcs,1,2212.00
OR2024-032971,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-20,To Ship,Whiteboard Sheet Roll,1,2212.00
OR2024-032973,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-08-31,Received,Office Chair Mid-Back,3,7850.00
OR2024-032973,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-08-31,Received,VGA to HDMI Adapter,1,7850.00
OR2024-032973,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-08-31,Received,Face Mask 50pcs,2,7850.00
OR2024-032975,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-08-07,Received,Ballpoint Pen Blue 10pcs,1,710.00
OR2024-032975,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-08-07,Received,Graph Paper Pad A4 50 sheets,3,710.00
OR2024-032975,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-08-07,Received,Floor Wax Red,3,710.00
OR2024-032975,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-08-07,Received,Glue Stick Large 40g,1,710.00
OR2024-032977,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-28,Preparing,Glue Gun Small,1,325.00
OR2024-032977,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-28,Preparing,Trash Bag Black Large,3,325.00
OR2024-032977,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-28,Preparing,Paper Clips 50pcs,1,325.00
OR2024-032980,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-08-26,Received,Mousepad Extended,3,865.00
OR2024-032980,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-08-26,Received,Graph Paper Pad A4 50 sheets,2,865.00
OR2024-032980,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-08-26,Received,Trash Bag Black Large,1,865.00
OR2024-032983,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-02-03,To Ship,Laser Toner Cartridge 85A,2,2800.00
OR2024-032983,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-02-03,To Ship,Laminating Film A4,2,2800.00
OR2024-032984,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-12-14,Cancelled,Eraser Large,2,5020.00
OR2024-032984,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-12-14,Cancelled,Office Chair Mid-Back,2,5020.00
OR2024-032985,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-04-23,To Ship,Ballpoint Pen Blue 10pcs,1,850.00
OR2024-032985,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-04-23,To Ship,Glue Stick Large 40g,2,850.00
OR2024-032985,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-04-23,To Ship,Chart Paper Roll 50m,2,850.00
OR2024-032987,Daniel Cruz,"3 Session Rd., Baguio City",2024-06-03,Received,Eraser Large,2,2120.00
OR2024-032987,Daniel Cruz,"3 Session Rd., Baguio City",2024-06-03,Received,Desktop Organizer Wood,3,2120.00
OR2024-032987,Daniel Cruz,"3 Session Rd., Baguio City",2024-06-03,Received,VGA to HDMI Adapter,3,2120.00
OR2024-032993,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-03-06,Preparing,Laptop Stand Aluminum,1,350.00
OR2024-032994,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-13,Received,Floor Wax Red,2,344.00
OR2024-032994,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-13,Received,File Folder A4 50pcs,3,344.00
OR2024-032994,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-13,Received,Ballpoint Pen Blue 10pcs,1,344.00
OR2024-032995,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-12-01,Received,Paper Clip Box 500pcs,1,30.00
OR2024-032999,Sophia Navarro,"14 Lacson St., Bacolod City",2024-05-28,Received,Index Divider Tabs 5pcs,2,540.00
OR2024-032999,Sophia Navarro,"14 Lacson St., Bacolod City",2024-05-28,Received,Alcohol 70% 1 Liter,2,540.00
OR2024-032999,Sophia Navarro,"14 Lacson St., Bacolod City",2024-05-28,Received,Oil Pastels 36pcs,1,540.00
OR2024-033000,Daniel Cruz,"3 Session Rd., Baguio City",2024-10-07,Received,Alcohol 70% 1 Liter,1,200.00
OR2024-033000,Daniel Cruz,"3 Session Rd., Baguio City",2024-10-07,Received,Glue Stick 20g,3,200.00
OR2024-033001,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-12-01,Received,Whiteboard Eraser,3,3010.00
OR2024-033001,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-12-01,Received,Office Chair Mid-Back,1,3010.00
OR2024-033001,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-12-01,Received,Adhesive Bandages 100pcs,2,3010.00
OR2024-033002,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-02-27,Received,Floor Lamp LED,2,2545.00
OR2024-033002,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-02-27,Received,Sticky Notes 50x50mm,3,2545.00
OR2024-033002,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-02-27,Received,Ballpoint Pen Blue 10pcs,1,2545.00
OR2024-033005,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-07-17,To Ship,Whiteboard Sheet Roll,3,1545.00
OR2024-033005,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-07-17,To Ship,File Pocket PVC A4,3,1545.00
OR2024-033006,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-02-24,Preparing,Soft Broom (Tambo),2,300.00
OR2024-033007,Sophia Navarro,"14 Lacson St., Bacolod City",2024-06-12,Received,Compass and Protractor Set,3,2950.00
OR2024-033007,Sophia Navarro,"14 Lacson St., Bacolod City",2024-06-12,Received,Office Chair Mid-Back,1,2950.00
OR2024-033008,Sophia Navarro,"14 Lacson St., Bacolod City",2024-03-11,To Ship,Glue Stick Large 40g,2,50.00
OR2024-033012,Daniel Cruz,"3 Session Rd., Baguio City",2024-12-28,Preparing,Glue Stick 20g,2,40.00
OR2024-033015,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-17,Received,Staples 1000pcs,3,969.00
OR2024-033015,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-17,Received,Binder Clips 24pcs,2,969.00
OR2024-033015,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-04-17,Received,Printer Paper A3 500 sheets,2,969.00
OR2024-033016,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-03-25,Received,Graph Paper Pad A4 50 sheets,1,2710.00
OR2024-033016,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-03-25,Received,First Aid Kit Box,3,2710.00
OR2024-033016,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-03-25,Received,Paper Clip Box 500pcs,2,2710.00
OR2024-033017,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-03-04,Received,Sticky Notes 50x50mm,3,489.00
OR2024-033017,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-03-04,Received,Alcohol 70% 1 Liter,3,489.00
OR2024-033017,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-03-04,Received,Binder Clips 24pcs,2,489.00
OR2024-033018,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-07-04,Preparing,Whiteboard Eraser,1,50.00
OR2024-033021,Sophia Navarro,"14 Lacson St., Bacolod City",2024-02-08,Received,Construction Paper Assorted,3,1035.00
OR2024-033021,Sophia Navarro,"14 Lacson St., Bacolod City",2024-02-08,Received,Printer Paper A3 500 sheets,2,1035.00
OR2024-033023,Maria Santos,"45 Mabini Ave., Makati City",2024-03-01,Preparing,Index Divider Tabs 5pcs,2,85.00
OR2024-033023,Maria Santos,"45 Mabini Ave., Makati City",2024-03-01,Preparing,Staples 1000pcs,3,85.00
OR2024-033024,Sophia Navarro,"14 Lacson St., Bacolod City",2024-05-20,Preparing,Floor Lamp LED,3,3600.00
OR2024-033027,Ana Villanueva,"12 Burgos St., Cebu City",2024-03-16,Cancelled,File Folder A4 50pcs,3,1429.00
OR2024-033027,Ana Villanueva,"12 Burgos St., Cebu City",2024-03-16,Cancelled,Floor Wax Red,1,1429.00
OR2024-033027,Ana Villanueva,"12 Burgos St., Cebu City",2024-03-16,Cancelled,Whiteboard Sheet Roll,2,1429.00
OR2024-033027,Ana Villanueva,"12 Burgos St., Cebu City",2024-03-16,Cancelled,Alcohol 70% 1 Liter,2,1429.00
OR2024-033030,Maria Santos,"45 Mabini Ave., Makati City",2024-01-13,Preparing,Sticky Notes 50x50mm,1,15.00
OR2024-033031,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-07-04,Received,Alcohol 70% 1 Liter,1,140.00
OR2024-033033,Daniel Cruz,"3 Session Rd., Baguio City",2024-09-19,Received,Cork Board 2x3ft,2,2290.00
OR2024-033033,Daniel Cruz,"3 Session Rd., Baguio City",2024-09-19,Received,Paper Clip Box 500pcs,3,2290.00
OR2024-033033,Daniel Cruz,"3 Session Rd., Baguio City",2024-09-19,Received,Cork Board 2x3ft,2,2290.00
OR2024-033034,Sophia Navarro,"14 Lacson St., Bacolod City",2024-05-08,Preparing,Binder 2-inch D-Ring,3,1190.00
OR2024-033034,Sophia Navarro,"14 Lacson St., Bacolod City",2024-05-08,Preparing,Glue Gun Small,1,1190.00
OR2024-033034,Sophia Navarro,"14 Lacson St., Bacolod City",2024-05-08,Preparing,Watercolor Set 24pcs,1,1190.00
OR2024-033034,Sophia Navarro,"14 Lacson St., Bacolod City",2024-05-08,Preparing,Glue Gun Small,2,1190.00
OR2024-033036,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-04-30,Preparing,Sticky Notes 75x75mm,2,50.00
OR2024-033037,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-02,Received,Eraser Large,1,2860.00
OR2024-033037,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-02,Received,Webcam 1080p,2,2860.00
OR2024-033037,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-02,Received,Paper Clips 50pcs,1,2860.00
OR2024-033037,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-02,Received,Watercolor Set 24pcs,3,2860.00
OR2024-033038,Daniel Cruz,"3 Session Rd., Baguio City",2024-11-23,Received,Desk Pen Holder,1,90.00
OR2024-033039,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-01-12,Received,Ballpoint Pen Blue 10pcs,2,1355.00
OR2024-033039,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-01-12,Received,Sticky Notes 50x50mm,3,1355.00
OR2024-033039,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-01-12,Received,HP 680 Black Ink Cartridge,3,1355.00
OR2024-033039,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-01-12,Received,PVC Binding Cover A4,3,1355.00
OR2024-033040,Maria Santos,"45 Mabini Ave., Makati City",2024-08-05,Received,Glue Stick Large 40g,2,290.00
OR2024-033040,Maria Santos,"45 Mabini Ave., Makati City",2024-08-05,Received,Waste Basket Mesh,2,290.00
OR2024-033044,Sophia Navarro,"14 Lacson St., Bacolod City",2024-06-18,Received,Desk Pen Holder,1,1440.00
OR2024-033044,Sophia Navarro,"14 Lacson St., Bacolod City",2024-06-18,Received,Laminating Film A4,3,1440.00
OR2024-033045,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-09-12,Cancelled,Stapler Standard,3,1700.00
OR2024-033045,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-09-12,Cancelled,Cork Board 2x3ft,1,1700.00
OR2024-033045,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-09-12,Cancelled,Webcam 1080p,1,1700.00
OR2024-033046,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-16,Received,Whiteboard Sheet Roll,1,520.00
OR2024-033046,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-16,Received,Sticky Flags 75mm,2,520.00
OR2024-033047,Ana Villanueva,"12 Burgos St., Cebu City",2024-03-22,Received,Soft Broom (Tambo),3,450.00
OR2024-033050,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-06-06,Preparing,Desk Pen Holder,1,310.00
OR2024-033050,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-06-06,Preparing,Mousepad Extended,1,310.00
OR2024-033050,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-06-06,Preparing,Glue Stick 20g,1,310.00
OR2024-033051,Maria Santos,"45 Mabini Ave., Makati City",2024-03-20,To Ship,Floor Lamp LED,3,3800.00
OR2024-033051,Maria Santos,"45 Mabini Ave., Makati City",2024-03-20,To Ship,Stapler Standard,2,3800.00
OR2024-033052,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-12-04,Received,Ballpoint Pen Blue 10pcs,2,450.00
OR2024-033052,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-12-04,Received,PVC Binding Cover A4,1,450.00
OR2024-033055,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-01-16,Cancelled,Spiral Coil Bind 10mm,3,1500.00
OR2024-033055,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-01-16,Cancelled,Printer Paper A3 500 sheets,1,1500.00
OR2024-033060,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-04-23,Received,VGA to HDMI Adapter,3,1800.00
OR2024-033060,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-04-23,Received,Chart Paper Roll 50m,3,1800.00
OR2024-033061,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-10-06,Received,Watercolor Set 24pcs,2,1180.00
OR2024-033061,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-10-06,Received,Desk Organizer Tray,3,1180.00
OR2024-033061,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-10-06,Received,Glue Stick 20g,3,1180.00
OR2024-033065,Maria Santos,"45 Mabini Ave., Makati City",2024-06-20,Cancelled,Rubber Bands 500g,2,500.00
OR2024-033065,Maria Santos,"45 Mabini Ave., Makati City",2024-06-20,Cancelled,HP 680 Black Ink Cartridge,1,500.00
OR2024-033065,Maria Santos,"45 Mabini Ave., Makati City",2024-06-20,Cancelled,Glue Stick 20g,1,500.00
OR2024-033065,Maria Santos,"45 Mabini Ave., Makati City",2024-06-20,Cancelled,HP 680 Black Ink Cartridge,1,500.00
OR2024-033067,Maria Santos,"45 Mabini Ave., Makati City",2024-01-11,To Ship,Compass and Protractor Set,2,300.00
OR2024-033068,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-10-22,Received,Watercolor Set 24pcs,1,1130.00
OR2024-033068,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-10-22,Received,File Pocket PVC A4,2,1130.00
OR2024-033068,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-10-22,Received,Mousepad Extended,3,1130.00
OR2024-033068,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-10-22,Received,HP 680 Black Ink Cartridge,1,1130.00
OR2024-033069,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-05-13,Received,Whiteboard Sheet Roll,1,950.00
OR2024-033069,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-05-13,Received,Desktop Organizer Wood,1,950.00
OR2024-033070,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-07-10,To Ship,Chart Paper Roll 50m,1,350.00
OR2024-033083,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-06-14,To Ship,Waste Basket Mesh,1,580.00
OR2024-033083,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-06-14,To Ship,Desk Pen Holder,2,580.00
OR2024-033083,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-06-14,To Ship,Alcohol 70% 1 Liter,2,580.00
OR2024-033087,Ana Villanueva,"12 Burgos St., Cebu City",2024-05-14,Received,Sticky Notes 50x50mm,2,270.00
OR2024-033087,Ana Villanueva,"12 Burgos St., Cebu City",2024-05-14,Received,Waste Basket Mesh,2,270.00
OR2024-033088,Daniel Cruz,"3 Session Rd., Baguio City",2024-05-06,Received,File Folder A4 50pcs,3,1854.00
OR2024-033088,Daniel Cruz,"3 Session Rd., Baguio City",2024-05-06,Received,Cork Board 2x3ft,3,1854.00
OR2024-033088,Daniel Cruz,"3 Session Rd., Baguio City",2024-05-06,Received,Soft Broom (Tambo),1,1854.00
OR2024-033089,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-03-11,Preparing,Floor Wax Red,1,120.00
OR2024-033089,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-03-11,Preparing,Glue Stick Large 40g,1,120.00
OR2024-033090,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-06-09,Preparing,Power Bank 10000mAh,2,2860.00
OR2024-033090,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-06-09,Preparing,Laser Toner Cartridge 85A,2,2860.00
OR2024-033090,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-06-09,Preparing,Paper Clip Box 500pcs,2,2860.00
OR2024-033091,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-07-29,Cancelled,Sticky Notes 75x75mm,3,2125.00
OR2024-033091,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-07-29,Cancelled,Spiral Coil Bind 10mm,1,2125.00
OR2024-033091,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-07-29,Cancelled,Webcam 1080p,2,2125.00
OR2024-033093,Ana Villanueva,"12 Burgos St., Cebu City",2024-06-12,Received,Paper Clip Box 500pcs,1,30.00
OR2024-033094,Maria Santos,"45 Mabini Ave., Makati City",2024-05-16,Received,Sticky Flags 75mm,2,65.00
OR2024-033094,Maria Santos,"45 Mabini Ave., Makati City",2024-05-16,Received,Thumb Tacks 100pcs,3,65.00
OR2024-033097,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-05-28,Received,Staples 1000pcs,1,585.00
OR2024-033097,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-05-28,Received,Trash Bag Black Large,2,585.00
OR2024-033097,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-05-28,Received,Oil Pastels 36pcs,2,585.00
OR2024-033099,Maria Santos,"45 Mabini Ave., Makati City",2024-08-05,To Ship,Floor Wax Red,2,580.00
